Tern Of The Wheel Bicycles,"404 West Broadway Street, Illinois, Bradley, 60915-2255",,815-933-9152,info@ternofthewheel.com,Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 9:00 AM - 5:00 PM;
Wheel & Sprocket - Oak Park,"1118 Westgate St., Illinois, Oak Park, 60301",,708-665-1100,oakpark@wheelandsprocket.com,Sun: 12:00 PM - 4:00 PM;Mon: 11:00 AM - 7:00 PM;Tue: 11:00 AM - 7:00 PM;Wed: 11:00 AM - 7:00 PM;Thu: 11:00 AM - 7:00 PM;Fri: 11:00 AM - 7:00 PM;Sat: 10:00 AM - 5:00 PM;
Wheel & Sprocket - Evanston,"1027 Davis Street, Illinois, Evanston, 60201-3609",,(847) 864-7660,evanston@wheelandsprocket.com,Sun: 12:00 AM - 4:00 PM;Mon: 11:00 AM - 7:00 PM;Tue: 11:00 AM - 7:00 PM;Wed: 11:00 AM - 7:00 PM;Thu: 11:00 AM - 7:00 PM;Fri: 11:00 AM - 7:00 PM;Sat: 10:00 AM - 5:00 PM;
Al's Cycle Shop,"8118 Lincoln Avenue, Illinois, Skokie, 60077-2403",,847-673-0135,larry@alscycleshop.com,Sun: 10:30 AM - 2:30 PM;Mon: 10:30 AM - 7:00 PM;Wed: 10:30 AM - 7:00 PM;Thu: 10:30 AM - 6:00 PM;Fri: 10:30 AM - 6:00 PM;Sat: 10:30 AM - 4:00 PM;
Trek Bicycle Store,"22 Michigan Ave W, Michigan, Battle Creek, 49017-3604",,269-962-7688,alan.parr@trekstorebattlecreek.com,Mon: 10:00 AM - 8:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 8:00 PM;Sat: 10:00 AM - 5:00 PM;
Trek Bicycle Store Downers Grove,"639 Ogden Ave., Illinois, Downers Grove, 60515-2732",,630-971-8877,downersgrove@trekchicago.com,Sun: 12:00 PM - 4:00 PM;Mon: 11:00 AM - 7:00 PM;Tue: 11:00 AM - 7:00 PM;Thu: 11:00 AM - 7:00 PM;Fri: 11:00 AM - 7:00 PM;Sat: 10:00 AM - 5:00 PM;
J & R Cycle & Ski,"240 W. St Charles Rd., Illinois, Villa Park, 60181",,630-620-1606,help@jandrcycleandski.com,Mon: 10:00 AM - 8:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 8:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 5:00 PM;
Kirk's Bike Shop,"Downtown Muncie, 124 S. Walnut Street, Indiana, Muncie, 47305-2812",,765-282-6389,jallardt@bkbikes.com,Mon: 10:00 AM - 5:00 PM;Tue: 10:00 AM - 5:00 PM;Wed: 10:00 AM - 5:00 PM;Thu: 10:00 AM - 5:00 PM;Fri: 10:00 AM - 5:00 PM;Sat: 10:00 AM - 4:00 PM;
George Garner Cyclery Northbrook,"1111 Waukegan Road, Illinois, Northbrook, 60062-4662",,847-272-2100,northbrook@georgegarnercyclery.com,Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 9:00 AM - 5:30 PM;
Sumbaum Cycle,"114 N Larkin, Illinois, Joliet, 60435-6603",,815-744-5333,sumbaumcycle@aol.com,Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 12:00 PM - 5:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 4:00 PM;
Wandering Wheels,"277 West Thoburn Avenue, P.O. Box 207, Indiana, Upland, 46989-0000",,765-998-7490,wanderingwheelsbike@gmail.com,
Chicagoland Bicycle & Fitness,"10355 South Kedzie Avenue, Illinois, Chicago, 60655-2015",,773-445-0811,chicagolandbicycle@gmail.com,Mon: 10:00 AM - 5:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 5:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 5:00 PM;Sat: 10:00 AM - 4:00 PM;
Chicago Bicycle Company,"728 South  Dearborn Street, Illinois, Chicago, 60605",,312-588-1050,Denis@chicagobicyclecompany.com,Sun: 11:00 AM - 5:00 PM;Mon: 11:00 PM - 7:00 PM;Tue: 11:00 PM - 7:00 PM;Wed: 11:00 PM - 7:00 PM;Thu: 11:00 PM - 7:00 PM;Fri: 11:00 PM - 7:00 PM;Sat: 11:00 PM - 5:00 PM;
Village Cycle Center,"1337 North Wells Street, Illinois, Chicago, 60610-1907",,312-751-2488,kathy@villagecycle.com,Sun: 10:00 AM - 5:00 PM;Mon: 10:00 AM - 8:00 PM;Tue: 10:00 AM - 8:00 PM;Wed: 10:00 AM - 8:00 PM;Thu: 10:00 AM - 8:00 PM;Fri: 10:00 AM - 8:00 PM;Sat: 10:00 AM - 5:00 PM;
Dally Tire Co Inc,"109 West Chicago Street, Michigan, Coldwater, 49036-1805",,517-278-5639,dallysthebikeshop@hotmail.com,Mon: 8:00 AM - 5:00 PM;Tue: 8:00 AM - 5:00 PM;Wed: 8:00 AM - 5:00 PM;Thu: 8:00 AM - 5:00 PM;Fri: 8:00 AM - 5:00 PM;Sat: 8:00 AM - 12:00 AM;
Richards Bicycles,"11933 S Harlem Ave, Illinois, Palos Heights, 60463-1138",,708-448-4601,MTB@RBikes.com,Sun: 12:00 PM - 3:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 5:00 PM;Sat: 10:00 AM - 5:00 PM;
Coming Soon-Trek Bicycle Chicago Wicker Park,"1643 N Milwaukee Avenue, Illinois, Chicago, 60647",,,Asif_Azhar@trekbikes.com,
Element Multisport,"2211 N Elston Ave, Suite 101, Illinois, Chicago, 60614",,773-529-4874,info@elementmultisport.com,Mon: 11:00 AM - 7:00 PM;Tue: 11:00 AM - 7:00 PM;Wed: 11:00 AM - 7:00 PM;Thu: 11:00 AM - 7:00 PM;Fri: 11:00 AM - 7:00 PM;Sat: 10:00 AM - 5:00 PM;
Oscar Wastyn Cycles,"2634 West Fullerton Ave., Illinois, Chicago, 60647-3014",,773-384-8999,WASTYNCYCLES@COMCAST.NET,Sun: 11:30 AM - 3:30 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 5:00 PM;
Chicago Bicycle Company,"3914 N Lincoln Avenue, Illinois, Chicago, 60613",,773-857-0596,Denis@chicagobicycylecompany.com,Sun: 11:00 AM - 5:00 PM;Mon: 11:00 AM - 7:00 PM;Tue: 11:00 AM - 7:00 PM;Wed: 11:00 AM - 7:00 PM;Thu: 11:00 AM - 7:00 PM;Fri: 11:00 AM - 7:00 PM;Sat: 11:00 AM - 5:00 PM;
The Kickstand Cycling & Fitness,"937 S. Centerville Road, Michigan, Sturgis, 49091-2502",,269-651-5088,carolann@pattengale.org,Mon: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 9:00 AM - 4:00 PM;
Trek Store of Schererville,"651 East US30, Indiana, Schererville, 46375",,219-322-2453,info@trekbikestore.com,Mon: 11:00 AM - 7:00 PM;Tue: 11:00 AM - 7:00 PM;Wed: 11:00 AM - 7:00 PM;Thu: 11:00 AM - 7:00 PM;Fri: 11:00 AM - 7:00 PM;Sat: 9:00 AM - 5:00 PM;
Summit City Bicycles & Fitness,"3801 Lima Road, Indiana, Fort Wayne, 46805-1045",,260-484-0182,help@summitcitybikes.com,Mon: 10:00 AM - 8:00 PM;Tue: 10:00 AM - 8:00 PM;Wed: 10:00 AM - 8:00 PM;Thu: 10:00 AM - 8:00 PM;Fri: 10:00 AM - 8:00 PM;Sat: 10:00 AM - 6:00 PM;
Curfman's Cyclery,"426 North  Washington Street, Indiana, Marion, 46952-2704",,765-662-6068,rcurfman@sbcglobal.net,Mon: 10:00 AM - 5:30 PM;Tue: 10:00 AM - 5:30 PM;Thu: 10:00 AM - 5:30 PM;Fri: 10:00 AM - 5:30 PM;Sat: 9:00 AM - 1:00 PM;
GoodSpeed Cycles - Calumet City,"754 Burnham Ave, Illinois, Calumet City, 60409-4520",,708-891-2600,goodspeedcycles@gmail.com,Sun: 10:00 AM - 5:00 PM;Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 8:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 5:00 PM;
Pedal,"185 Romence Road, Michigan, Portage, 49024",,269-324-5555,tim@pedalbicycle.com,Mon: 11:00 AM - 7:00 PM;Tue: 11:00 AM - 7:00 PM;Wed: 11:00 AM - 7:00 PM;Thu: 11:00 AM - 7:00 PM;Fri: 11:00 AM - 7:00 PM;Sat: 10:00 AM - 5:00 PM;
BIKE AND SOUL ANGOLA,"120 North Public Square, Indiana, Angola, 46703",,260-665-8356,libby@bikeandsoulangola.com,Mon: 10:00 AM - 5:00 PM;Tue: 10:00 AM - 5:00 PM;Wed: 10:00 AM - 5:00 PM;Thu: 10:00 AM - 5:00 PM;Fri: 10:00 AM - 5:00 PM;Sat: 10:00 AM - 2:00 PM;
Hodsons Bay Company,"360 Brown Street, Indiana, West Lafayette, 47906-0000",,765-743-3506,dan@hodsonsbay.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 5:00 PM;
GoodSpeed Cycles - Homewood,"2125 W 183rd St., Illinois, Homewood, 60430-2911",,708-957-9888,goodspeedcycles@gmail.com,Sun: 10:00 AM - 5:00 PM;Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 8:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 5:00 PM;
PEDAL,"611 West Michigan Avenue, Michigan, Kalamazoo, 49007-3715",,269-567-3325,tim@pedalbicycle.com,Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 5:00 PM;
Outpost Sports,"3602 North Grape Road, Indiana, Mishawaka, 46545-2711",,574-259-1000,info@outpostsports.com,Sun: 12:00 AM - 5:00 PM;Mon: 10:00 AM - 8:00 PM;Tue: 10:00 AM - 8:00 PM;Wed: 10:00 AM - 8:00 PM;Thu: 10:00 AM - 8:00 PM;Fri: 10:00 AM - 8:00 PM;Sat: 10:00 AM - 6:00 PM;Sat: 1:00 PM - 1:00 PM;
Trek Bicycle Store Granger,"7225 Heritage Sq. Dr., Suite 260, Indiana, Granger, 46530",,574-703-3610,sales@trekstoregranger.com,Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 5:00 PM;
Trailhouse Village Bicycles,"1001 East Canal Street, Indiana, Winona Lake, 45590",,,barry@trailhousevillagebicycles.com,Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 6:00 PM;
All About Cycling,"401 East Jackson Blvd., Indiana, Elkhart, 46516",,574-294-7243,steve@allaboutcycling.net,Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 9:00 AM - 3:00 PM;
Lincoln Ave Cycling,"430 West Lincoln, Indiana, Goshen, 46526-2413",,574-533-7425,lincolnavenuecycling@gmail.com,Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 9:00 AM - 4:00 PM;
Pedals And Paddles,"105 East  Esterbrook Drive, Indiana, North Webster, 46555",,574-244-2279,pedalspaddlesllc@gmail.com,Sun: 10:00 AM - 4:00 PM;Mon: 9:00 AM - 5:00 PM;Wed: 9:00 AM - 5:00 PM;Thu: 9:00 AM - 5:00 PM;Fri: 9:00 AM - 5:00 PM;Sat: 9:00 AM - 5:00 PM;
Inertia Cycleworks,"211 E. Main Street, Michigan, Niles, 49120-2303",,269-684-2000,chris@inertiacycleworks.com,Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 4:00 PM;
Bike Stop Cycling,"609 E US Highway 20, Indiana, Michigan City, 46360-7008",,219-872-9228,bikestopcycling@yahoo.com,Mon: 10:00 AM - 5:00 PM;Tue: 10:00 AM - 5:00 PM;Wed: 10:00 AM - 5:00 PM;Thu: 10:00 AM - 5:00 PM;Fri: 10:00 AM - 5:00 PM;Sat: 10:00 AM - 5:00 PM;
Buck's Bicycle Shop,"610 Silhavy Road, Indiana, Valparaiso, 46383-4442",,219-462-3411,bucksbicycleshop@yahoo.com,Mon: 9:00 AM - 5:30 PM;Tue: 9:00 AM - 5:30 PM;Wed: 9:00 AM - 5:30 PM;Thu: 9:00 AM - 5:30 PM;Fri: 9:00 AM - 5:30 PM;Sat: 9:00 AM - 3:00 PM;
Cycle And Fitness,"1507 Niles Avenue, Michigan, St Joseph, 49085-1585",,269-983-2453,mike@cycleandfitness.net,Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 10:00 AM - 4:00 PM;
Bike Barn - Champions,"6935 Cypresswood Drive, Suite D, Texas, Spring, 77379",,281-320-0399,champions@bikebarn.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Bike Barn West University,"5339 Weslayan, Texas, Houston, 77005",,713-529-9002,westu@bikebarn.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Conroe Cyclery,"1108 Q Loop 336 West, Texas, Conroe, 77301-1192",,936-7564005,conroeschwinn@yahoo.com,
Bike Barn - Atascocita,"7506 FM 1960 East, Texas, Humble, 77346-3486",,281-812-8423,atascocita@bikebarn.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Bike Barn - Clear Lake,"2422B Bay Area Boulevard, Texas, Houston, 77058-1520",,281-480-9100,clearlake@bikebarn.com,Sun: 12:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Bike Town,"1789 Industrial Blvd, Texas, Abilene, 79602",,325-677-2453,biketownabilene@yahoo.com,Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 6:00 PM;Sat: 9:00 AM - 3:00 PM;
Bike Masters-Mcallen,"6201 N 10th Street, Texas, McAllen, 78504",,(956)627-2200,jesus@thebikemasters.com,Mon: 10:00 AM - 6:30 PM;Tue: 10:00 AM - 6:30 PM;Wed: 10:00 AM - 6:30 PM;Thu: 10:00 AM - 6:30 PM;Fri: 10:00 AM - 6:30 PM;Sat: 10:00 AM - 6:30 PM;
Bike Masters,"2801 E. Griffin Parkway, Texas, Mission, 78572",,(956)682-2453,sales@thebikemasters.com,Sun: 11:00 AM - 4:00 PM;Mon: 10:00 AM - 6:30 PM;Tue: 10:00 AM - 6:30 PM;Wed: 10:00 AM - 6:30 PM;Thu: 10:00 AM - 6:30 PM;Fri: 10:00 AM - 6:30 PM;Sat: 10:00 AM - 6:30 PM;
Bicycles Inc - Fort Worth,"5125 Granbury Road, Texas, Ft  Worth, 76133-0000",,817-292-2911,scott@bicyclesinc.com,Sun: 1:00 PM - 5:00 PM;Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 6:00 PM;
Fort Worth Cycling & Fitness,"3315 South Cherry Lane, Texas, Fort Worth, 76116-6404",,817-244-7911,bill@fwcycling.com,Mon: 9:30 AM - 6:00 PM;Tue: 9:30 AM - 6:00 PM;Wed: 9:30 AM - 6:00 PM;Thu: 9:30 AM - 6:00 PM;Fri: 9:30 AM - 6:00 PM;Sat: 9:30 AM - 6:00 PM;
