HICKORY HILLS COUNTRY CLUB,3909 E. FARMS ROAD #136 Springfield 65809 US,,(417) 869-3878,,
STEWART GOLF COURSE,1825 E NORTON Springfield 65803-4768 US,,(417) 833-9962,,
HIGHLAND SPRINGS COUNTRY CLUB,5400 S HIGHLAND SPRINGS BLVD Springfield 65809-4609 US,,(417) 886-0408,,
"MILLWOOD GLF & RQT CLUB, INC.",3700 E MILLWOOD DR Ozark 65721-6690 US,,(417) 889-4200,,
RIVERCUT GOLF COURSE,2850 WEST FARM RD 190 Springfield 65810-2378 US,,(417) 891-1645,,
SILO RIDGE GOLF & CC,4551 FAIRWAY DRIVE Bolivar 65613-2692 US,,(417) 326-7456,,
LEDGESTONE COUNTRY CLUB,1600 LEDGESTONE WAY Branson West 65737-9276 US,,(417) 335-8187,,
LAKE VALLEY GOLF & CNTRY CLUB,LAKE RD 54-79 Camdenton 65020-9144 US,,(573) 346-7218,,
RANGE LINE GOLF CENTER,2001 NORTH RANGELINE Joplin 64801-8250 US,,(417) 624-0400,,
BELLA VISTA COUNTRY CLUB,98 CLUBHOUSE DRIVE Bella Vista 72715 US,,,,
Dicks Sporting Goods,4635 Osage Beach Parkway Osage Beach 65065 US,,(573) 302-7470,,
TD GOLF LLC,452 COUNTRY CLUB DRIVE Mountain Home 72653 US,,,,
Indian Rock Golf Club,100 Indian Lake Ave Gravois Mills 65037 US,http://,(573) 372-3023,,
GOLF HEADQUARTERS,4608 W WALNUT Rogers 72756 US,,,,
CRESTWOOD COUNTRY CLUB,"304 W CRESTVIEW AVE, RR # 2 Pittsburg 66762-6288 US",,(620) 231-6530,,
ELDON GOLF CLUB INC,35 GOLF COURSE ROAD Eldon 65026-4613 US,,(573) 392-4172,,
SCRATCH GOLF ASSOCIATES,3184 N COLLEGE AVE STE 1 Fayetteville 72703-3573 US,,(479) 444-6300,,
Rivershore Golf Course,330 Rivershore Drive Kamloops V2H 1S1 CA,,205-573-4622,,
Oakfield Golf & Country Club,6055 HWY #2 Enfield B2T 1A2 CA,,902-861-2777,,
Ashburn Golf Club,3250 Joseph Howe Drive Halifax B3L 4T7 CA,,902-443-8113,,
Rideau View Country Club,6044 Rideau Valley Dr North Manotick K4M 1B3 CA,,613-692-3442,,
The Georgian Bay Club,516689 7th Line Clarksburg Collingwood N0H 1J0 CA,,519-599-9949,,
Château CArtier Golf Course,1170 Aylmer Road Aylmer J9H 5E1 CA,,819-777-8870,,
Club De Golf Le Blainvillier Inc,200 du Blainvillier Blainville J7C4X6 CA,,450-433-1444,,
Club de Golf Alpin,1466 Copains St. Sainte-Adèle J8B 2A1 CA,,450-229-6600,,
GolfTEC North Vancouver,1805 Welch Street North Vancouver V7P 1B7 CA,,604-904-3677,,
Kaylan Golf,1316 Dickie Settlement Rd CAmbridge N3H 4R8 CA,,519-653-2370,,
Elm Ridge Country Club,851 Cherrier Ile Bizard H9E 1C3 CA,,514-626-3992,,
Bridgewater Country Club,700 Gilmore Road Fort Erie L2A 5M4 CA,,905-871-2400,,
Kingswood Park,31 Kingswood Park Fredericton E3C 2L4 CA,,506-443-3333,,
Woodstock Meadows Golf Centre,745314 Oxford Rd #17 RR#7 Woodstock N4S 7W2 CA,,519-537-2283,,
Peterborough Golf & Country Club,1030 Armour Rd. Peterborough K9J 6Y8 CA,,705-743-5010,,
Christina Lake Golf Club,282 2nd Ave Christina Lake V0H 1E0 CA,,250-447-9313,,
The National Golf Club of CAnada,134 Clubhouse Road Woodbridge L4L 2W2 CA,,416-798-4901,,
Kevin Haime Golf Centre,560 Hazeldean Rd Kanata K2V 1C4 CA,,613-591-0006,,
Port CArling Golf & Country Club,12 Donald Drive Port CArling P0B 1J0 CA,,705-765-6600,,
North Bay Golf & Country Club,100 Tupper Drive North Bay P1B 8K1 CA,,705-472-2880,,
CAPITOL HILL PRATTVILLE,2600 CONSTITUTION AVE Prattville 36066-7713 US,,,,
MONTGOMERY COUNTRY CLUB,3001 NARROW LANE RD Montgomery 36106-2216 US,,,,
Dicks Sporting Goods,7861 Eastchase Parkway Montgomery 36117 US,,(334) 277-8180,,
WYNLAKES COUNTRY CLUB,7900 WYNLAKES BLVD Montgomery 36117-5165 US,,,,
FARMLINKS GOLF CLUB LLC,2200 FARMLINKS BLVD. Sylacauga 35151 US,,,,
BALLANTRAE GOLF CLUB,1300 BALLANTRAE CLUB DR Pelham 35124-6200 US,,,,
Dicks Sporting Goods,200 S. Colonial Drive Alabaster 35007 US,,(205) 564-2648,,
OAK MOUNTAIN STATE PARK GOLF COURSE,877 FINDLAY DRIVE Pelham 35124 US,,,,
JC GOLF INC.,2000 CLUB RD. Hoover 35244 US,,,,
BENT BROOK GOLF CLUB,7900 DICKEY SPRINGS RD Bessemer 35022-6378 US,,,,
EAGLE POINT GOLF CLUB,4500 EAGLE POINT DR Birmingham 35242-6906 US,,,,
INVERNESS GOLF & REPAIR INC,4647-D US HWY 280 Birmingham 35242 US,,,,
Dicks Sporting Goods,5201 Hwy 280 Birmingham 35242 US,,(205) 981-1320,,
PGA TOUR SUPERSTORE,165-A INVERNESS PLAZA SHOPPING CENTER Birmingham 35242 US,,,,
Edwin Watts,189 STATE FARM PKWY Birmingham 35209 US,,,,
MOORES MILL GOLF COURSE,1957 FAIRWAY DR Auburn 36830-7627 US,,,,
ALABAMA DISCOUNT GOLF,1010 KICKER RD - UNIT D Tuscaloosa 35404 US,,,,
YOUR GOLF SUPERSTORE,1010 KICKER RD Tuscaloosa 35404 US,,,,
MOUNTAIN BROOK CLUB,19 BEECHWOOD RD Birmingham 35213-3955 US,,,,
GRAND NATIONAL,3000 SUNBELT PARKWAY Opelika 36801-1116 US,,,,
COUNTRY CLUB OF BIRMINGHAM,3325 COUNTRY CLUB ROAD Birmingham 35213-3636 US,,,,
INVERNESS COUNTRY CLUB,1 COUNTRY CLUB ROAD Birmingham 35242 US,,,,
Dicks Sporting Goods,2718 Enterprise Drive Opelika 36801 US,,(503) 622-3101,,
Dicks Sporting Goods,"1320 McFarland Blvd E, Bldg 400, Suite 410 Tuscaloosa 35404 US",,(239) 596-1000,,
TIMBERCREEK GOLF CLUB,9650 TIMBERCREEK BLVD Spanish Fort 36527-5604 US,,,,
Dicks Sporting Goods,6850 US Highway 90 Ste 10 Daphne 36526 US,,(251) 621-0031,,
Dicks Sporting Goods,1390 Tingle Circle W Mobile 36606 US,,(440) 962-2000,,
LAKEWOOD GOLF CLUB,ONE GRAND BLVD Point Clear 36564 US,,,,
Edwin Watts,168 WEST I-65 SERVICE RD. S. Mobile 36608 US,,,,
PRO GOLF DISC OF GULF SHORES,3757 GULF SHORES PKWY Gulf Shores 36542-2759 US,,,,
Edwin Watts,5711 N. DAVIS HIGHWAY Pensacola 32503 US,,,,
Dicks Sporting Goods,5100 N 9th Avenue Pensacola 32504 US,,(850) 478-9605,,
GATOR LAKES GOLF COURSE,91300 GOLF COURSE ROAD Hurlburt Field 32544-5904 US,,,,
Dicks Sporting Goods,3893 Promenade Parkway D'Iberville 39540 US,,(228) 392-1607,,
Edwin Watts,1957 LEWIS TURNER BLVD Ft. Walton Beach 32547 US,,,,
NEVADA BOBS GOLF,15244 A CROSSROADS PKWY Gulfport 39503-3564 US,,(228) 539-4653,,
BLACKSTONE GOLF COURSE,108 BLACKSTONE LANE Defuniak Springs 32433 US,,,,
Edwin Watts,34898 EMERALD COAST PARKWAY Destin 32541 US,,,,
NATIONAL GOLF OUTLET,36066 EMERALD COAST PARKWAY Destin 32541 US,,,,
Dicks Sporting Goods,1000 Turtle Creek Road Suite 2 Hattiesburg 39402 US,,(508) 398-9079,,
EMERALD COAST GOLF CENTER,16821 PANAMA CITY BEACH PKWY Panama City Beach 32413 US,,,,
Dicks Sporting Goods,"15700 Panama City Beach Park, #400 Panama City 32413 US",,(850) 238-3322,,
GOLF FORE LESS,160 SHORTER AVENUE Rome 30165 US,,(706) 802-0042,,
COOSA COUNTRY CLUB,110 BRANHAM AVE Rome 30161-4404 US,,(706) 234-2200,,
BARNSLEY GARDEN RESORT,597 BARNSLEY GARDENS RD NW Adairsville 30103-5712 US,,(770) 773-7480,,
DALTON GOLF & COUNTRY CLUB,333 COUNTRY CLUB WAY Dalton 30721-8146 US,,,,
WINDSTONE GOLF COURSE,RT 3  OOLTEWAH RINGGOLD RD Ringgold 30736 US,,(423) 894-1231,,
BLACK CREEK CLUB,4700 CUMMINGS COVE DRIVE Chattanooga 37419-2175 US,,(423) 822-2582,,
HAMPTON COVE,450 OLD HWY 431 SOUTH Owens Cross Roads 35763-9304 US,,,,
PRO GOLF OF HAMILTON PLACE INC.,1330 APPLING ST. Chattanooga 37406 US,,,,
Dicks Sporting Goods,2020 Gunbarrel Road Suite 205 Chattanooga 37421 US,,(423) 892-3122,,
PRO GOLF OF HAMILTON PLACE INC,2209 HAMILTON PLACE BLVD Chattanooga 37406 US,,(423) 894-0304,,
THE LEDGES OF HUNTSVILLE,32 CASTLE DOWN DR Huntsville 35802 US,,,,
Dicks Sporting Goods,1500 Oxford Exchange Blvd Oxford 36203 US,,(256) 831-7739,,
CIDER RIDGE GOLF CLUB,200 APPLE BLOSSOM WAY Oxford 36203 US,,,,
REDSTONE GOLF COURSE,4140 GOSS RD Huntsville 35898-0001 US,,,,
Dicks Sporting Goods,2718 Carl T Jones Dr SE Huntsville 35802 US,,(256) 881-3212,,
BROOKSTONE GOLF & CTRY CLUB,5705 BROOKSTONE DRIVE Acworth 30101-8027 US,,(770) 425-1255,,
Dicks Sporting Goods,6890A Governors Drive West NW Huntsville 35806 US,,(256) 801-3766,,
HUNTSVILLE COUNTRY CLUB,2601 OAKWOOD AVE Huntsville 35810 US,,,,
MARIETTA COUNTRY CLUB,1400 MARIETTA COUNTRY CLUB DR. Kennesaw 30152-4744 US,,,,
PGA TOUR SUPERSTORE,2911 GEORGE BUSBEE PKWY Kennesaw 30144 US,,,,
Dicks Sporting Goods,4401 Montgomery Highway Suite 300 Dothan 36303 US,,(334) 671-1370,,
PRO GOLF DIST OF DOTHAN,2571 MONTGOMERY HWY Dothan 36303-2603 US,,,,
SILVER WINGS GOLF COURSE,BLDG 20067 Fort Rucker 36362 US,,,,
RAYMOND ROWE FURNITURE CO. INC.,1229 BROADWAY Columbus 31901 US,,(706) 653-8332,,
COUNTRY CLUB OF COLUMBUS,2610 CHEROKEE AVE Columbus 31906-1051 US,,(706) 322-4441,,
GREEN ISLAND COUNTRY CLUB,6501 STANDING BOY Columbus 31904-2219 US,,(706) 324-3706,,
Dicks Sporting Goods,5550 Whittlesey Blvd Suite 200 Columbus 31909 US,,(706) 320-0179,,
Edwin Watts,1366 B HWY 82 WEST Leesburg 31763 US,,,,
MAPLE RIDGE GOLF CLUB,4700 MAPLE RIDGE TRL Columbus 31909-2038 US,,,,
MAPLE RIDGE GOLF CLUB,4700 MAPLE RIDGE TRAIL Columbus 31909 US,,,,
DOUBLEGATE COUNTRY CLUB,3800 OLD DAWSON RD Albany 31721-9198 US,,,,
WATERFORD GOLF CLUB,620 HWY 96 EAST Bonaire 31005 US,,(478) 328-7533,,
Dicks Sporting Goods,4401 Creekside Avenue Hoover 35244 US,,(205) 909-1400,,
GRAYSON VALLEY GOLF & COUNTRY,2201 GRAYSON VALLEY DR Birmingham 35235-2027 US,,,,
Dicks Sporting Goods,1106 Cullman Shopping Center NW Cullman 35055 US,,(256) 841-3534,,
FUNLAND GOLF,2828 DANVILLE RD. SOUTHWEST Decatur 35603 US,,,,
THE PROFESSIONALS GOLF SHOP,401 LIME QUARRY RD Madison 35758-8997 US,,,,
NEWNAN COUNTRY CLUB,1356 HWY 29 N Newnan 30263 US,,,,
Dicks Sporting Goods,382 Newnan Crossing Bypass Newnan 30265 US,,(770) 253-1501,,
SUMMER GROVE GOLF CLUB,335 SUMMER GROVE PKWY Newnan 30265 US,,,,
D & H - NEWNAN GA 22796,185 COWETA INDUSTRIAL PARKWAY Newnan 30265 US,,,,
Dicks Sporting Goods,667 Ernest W. Barrett Parkway NW Ste 400 Kennesaw 30144 US,,(770) 281-0200,,
Dicks Sporting Goods,2145 Marketplace Blvd Cumming 30041 US,,(260) 483-3148,,
GOLF WAREHOUSE ATLANTA,2697 SPRING ROAD Smyrna 30080-3019 US,,(770) 435-1934,,
CHADWICK LANDERS ENTERPRISES - THE GOLF,105 HILLVIEW CT. Woodstock 30188 US,,,,
BRAELINN GOLF CLUB,500 CLUBVIEW DRIVE Peachtree City 30269-2787 US,,,,
Dicks Sporting Goods,305 Pavillion Parkway Fayetteville 30214 US,,(678) 817-0676,,
CRYSTAL LAKE CC,100 CRYSTAL LAKE BLVD. Hampton 30228 US,,,,
Dicks Sporting Goods,1810 Cumming Hwy Ste 860 Canton 30115 US,,(210) 490-6899,,
Dicks Sporting Goods,4269 Roswell Road Marietta 30062 US,,(631) 751-0535,,
Dicks Sporting Goods,2041 US 45 Columbus 39705 US,,(203) 968-1719,,
Dicks Sporting Goods,720 MacKenzie Lane Flowood 39232 US,,(601) 992-2341,,
Edwin Watts,3150 PIEDMONT RD. NE Atlanta 30305 US,,,,
CLUB CHAMPION - ATLANTA,"6690 Roswell Rd., Suite 540 Sandy Springs 30328 US",http://,(404) 303-8322,,
Dicks Sporting Goods,3535 Peachtree Road Atlanta 30326 US,,(404) 267-0200,,
BAY POINT RESORT GOLF CLUB,4701 BAY POINT RD Panama City 32408 US,,,,
Dicks Sporting Goods,376 Cox Creek Parkway Florence 35630 US,,(256) 760-4211,,
TURTLE POINT YACHT & C C,1000 CLUB DR Killen 35645-2804 US,,,,
Dicks Sporting Goods,1001 Barnes Crossing Road Ste 500 Tupelo 38804 US,,(662) 844-5799,,
PRO GOLF DISC OF TUPELO,119 S INDUSTRIAL ROAD Tupelo 38801-4666 US,,(662) 844-9233,,
JACKSON COUNTRY CLUB,31 JACKSON COUNTRY CLUB LN JACKSON 38305 US,,,,
Dicks Sporting Goods,1165 Vann Drive Jackson 38305 US,,(731) 660-4344,,
NANCY QUARCELINO SCHOOL OF GOLF,3901 KEDRON RD. Spring Hill 37174 US,,,,
Dicks Sporting Goods,300 Merchants Drive Oxford 38655 US,,(860) 889-6973,,
WESTHAVEN GOLF CLUB,4100 GOLF CLUB DR Franklin 37064 US,,(615) 599-4334,,
THE GROVE,6568 ARNO RD. College Grove 37046 US,,,,
CHAMPIONS RUN GOLF COURSE,14262 MT PLEASANT RD Rockvale 37153 US,,,,
Dicks Sporting Goods,2000 Mallory Lane Suite 280 Franklin 37067 US,,(615) 778-0595,,
